DATE_ACHAT,EAN,ID_INDIVIDU,ID_FOYER,NUM_TICKET,QUANTITE,PRIX_AP_REMISE,REMISE_VALEUR,CODE_BOUTIQUE,ID_ARTICLE,ID_MODELE,ID_OPTION,MODELE,OPTION_PTT,COLORIS,POSITION,GRILLE,Ligne,Famille,REGIONS,CENTRE_VILLE,TYPE_MAGASIN,PLV,gift,PRICE
2015-12-14,3585211731150,4,175898,10,1,69,0,730,60020.0,116.0,12128.0,222,MERVE,41.0,4.0,3.0,Homewear,Homewear_Ensemble,Province,Centre ville,Affilié,0,0,69
2016-07-02,3585211668319,4,175898,513,1,75,0,920,54398.0,136.0,8251.0,503,CAPFE,20.0,4.0,3.0,Bain,Bain_Maillot,Paris,Centre Commercial,Succursale,0,0,75
2016-06-21,3585211799914,4,175898,545,1,12,20,920,63264.0,20.0,13923.0,124,ILOVE,45.0,1.0,10.0,Corseterie,Short,Paris,Centre Commercial,Succursale,0,0,12
2016-06-21,3585211803185,4,175898,545,1,41,20,920,63979.0,593.0,14580.0,116B,OMBRE,10.0,4.0,25.0,,,Paris,Centre Commercial,Succursale,0,0,41
2016-06-21,7000000000201,4,175898,545,1,0,100,920,64573.0,7.0,15109.0,FAVO,VPAMI,13.0,1.0,5.0,,,Paris,Centre Commercial,Succursale,0,1,0
2016-07-06,3585211452338,4,175898,536,1,26,0,920,,,,,,,,,,,Paris,Centre Commercial,Succursale,0,0,26
2016-07-06,3585211375507,4,175898,536,1,39,0,920,,,,,,,,,,,Paris,Centre Commercial,Succursale,0,0,39
2016-07-20,3585211771804,4,175898,25,1,19,0,753,61601.0,147.0,13225.0,536,MARIN,61.0,4.0,3.0,Bain,Bain_Maillot,Paris,Centre ville,Succursale,0,0,19
2016-07-20,3585211771156,4,175898,25,1,25,0,753,61545.0,143.0,13169.0,525,MARIN,61.0,5.0,3.0,Bain,Bain_Maillot,Paris,Centre ville,Succursale,0,0,25
2016-07-20,3585211773846,4,175898,25,1,35,0,753,61312.0,147.0,12936.0,536,ESCAL,20.0,4.0,3.0,Bain,Bain_Maillot,Paris,Centre ville,Succursale,0,0,35
2016-07-20,3585211779367,4,175898,25,1,45,0,753,61301.0,453.0,12925.0,529D,ESCAL,20.0,4.0,25.0,Bain,Bain_Maillot,Paris,Centre ville,Succursale,0,0,45
2016-07-23,3585211617492,4,175898,7,1,69,0,930,54388.0,135.0,8241.0,502,CAPFE,20.0,6.0,3.0,Bain,Bain_Maillot,Paris,Centre Commercial,Succursale,0,0,69
2016-07-23,3585211804229,4,175898,7,1,20,0,930,61604.0,66.0,13228.0,540,MARIN,20.0,1.0,5.0,Bain,Bain_Beachwear,Paris,Centre Commercial,Succursale,0,0,20
2016-04-10,3585211810381,91,93525,13,1,35,0,312,62613.0,155.0,13803.0,119,BALLE,31.0,2.0,3.0,Corseterie,Slip,Province,Centre Commercial,Succursale,0,0,35
2016-04-10,3585211810244,91,93525,13,1,32,0,312,62628.0,19.0,13818.0,122,BALLE,31.0,1.0,10.0,Corseterie,String/Tanga,Province,Centre Commercial,Succursale,0,0,32
2016-04-10,3585211809866,91,93525,13,1,45,0,312,62577.0,199.0,13767.0,107A,BALLE,31.0,4.0,25.0,Corseterie,Triangle/Brassiere,Province,Centre Commercial,Succursale,0,0,45
2016-05-22,3585211535970,99,95597,4,1,26,0,313,47504.0,19.0,2305.0,122,JALOU,95.0,2.0,10.0,Corseterie,String/Tanga,Province,Centre Commercial,Succursale,0,0,26
2016-05-22,3585211452345,99,95597,4,1,26,0,313,,,,,,,,,,,Province,Centre Commercial,Succursale,0,0,26
2016-05-28,3585211851346,99,95597,6,1,0,100,313,62493.0,31.0,13763.0,247,BIR06,1001.0,3.0,10.0,Homewear,Homewear_Haut,Province,Centre Commercial,Succursale,0,0,0
2016-05-28,3585211452352,99,95597,6,1,26,0,313,,,,,,,,,,,Province,Centre Commercial,Succursale,0,0,26
2016-01-12,3585211774447,99,95597,3,1,34,0,313,60781.0,222.0,12607.0,106C,IDYLL,21.0,6.0,25.0,Corseterie,Push-up,Province,Centre Commercial,Succursale,0,0,34
2016-05-22,3585211538087,99,95597,4,1,42,0,313,47481.0,226.0,2305.0,102C,JALOU,95.0,6.0,25.0,Corseterie,Corbeille mousse/Bandeau,Province,Centre Commercial,Succursale,0,0,42
2016-01-12,3585211774850,99,95597,3,1,23,0,313,60813.0,20.0,12639.0,124,IDYLL,21.0,2.0,10.0,Corseterie,Short,Province,Centre Commercial,Succursale,0,0,23
2015-09-28,3585211513428,557,122410,9,1,25,0,753,46659.0,419.0,3635.0,340,SILK,1702.0,1.0,10.0,Corseterie,Slip,Paris,Centre ville,Succursale,0,0,25
2015-09-28,3585211850110,557,122410,9,1,65,0,753,60889.0,7.0,12712.0,FAVO,PAWEE,13.0,1.0,5.0,,,Paris,Centre ville,Succursale,0,0,65
2016-06-27,3585211875007,557,122410,104,1,0,100,753,62454.0,7.0,13748.0,FAVO,BON40,13.0,1.0,5.0,,,Paris,Centre ville,Succursale,0,1,0
2015-09-28,3585211779459,557,122410,9,1,0,0,753,58128.0,7.0,11025.0,FAVO,20FAV,13.0,1.0,5.0,,,Paris,Centre ville,Succursale,0,1,0
2016-06-27,3585211785399,557,122410,104,1,0,100,753,62880.0,20.0,11424.0,124,COCOT,3020.0,1.0,10.0,Corseterie,Short,Paris,Centre ville,Succursale,0,0,0
2016-06-27,3585211618017,557,122410,104,1,45,0,753,54451.0,241.0,8304.0,523C,CAPFE,20.0,4.0,25.0,Bain,Bain_Maillot,Paris,Centre ville,Succursale,0,0,45
2016-06-27,7000000000089,557,122410,104,1,0,100,753,64575.0,7.0,15111.0,FAVO,2NDBA,13.0,1.0,5.0,,,Paris,Centre ville,Succursale,0,1,0
2015-09-28,3585211815409,557,122410,9,1,0,100,753,60867.0,634.0,12693.0,298,LUNDI,21.0,1.0,5.0,,,Paris,Centre ville,Succursale,0,0,0
2016-02-01,3585211779459,557,122410,25,1,0,100,753,58128.0,7.0,11025.0,FAVO,20FAV,13.0,1.0,5.0,,,Paris,Centre ville,Succursale,0,1,0
2015-09-28,3585211809415,557,122410,9,1,0,100,753,60845.0,32.0,12671.0,248,LUNDI,41.0,3.0,3.0,Homewear,Homewear_Bas,Paris,Centre ville,Succursale,0,0,0
2016-02-01,3585211851353,557,122410,24,1,0,100,753,62494.0,123.0,13764.0,253,FAV06,6101.0,1.0,10.0,Homewear,Homewear_Haut,Paris,Centre ville,Succursale,0,0,0
2015-09-28,3585211808388,557,122410,9,1,0,100,753,60841.0,31.0,12667.0,247,LUNDI,41.0,1.0,10.0,Homewear,Homewear_Haut,Paris,Centre ville,Succursale,0,0,0
2015-09-28,3585211779459,557,122410,9,1,0,100,753,58128.0,7.0,11025.0,FAVO,20FAV,13.0,1.0,5.0,,,Paris,Centre ville,Succursale,0,1,0
2016-06-27,3585211851322,557,122410,104,1,0,100,753,62491.0,31.0,13761.0,247,BIR06,1001.0,1.0,10.0,Homewear,Homewear_Haut,Paris,Centre ville,Succursale,0,0,0
2016-02-01,3585211636332,557,122410,24,1,24,0,753,51106.0,121.0,2245.0,238,HOUPE,10.0,1.0,4.0,Homewear,Homewear_Ensemble,Paris,Centre ville,Succursale,0,0,24
2016-06-27,3585211619274,557,122410,104,1,35,0,753,54535.0,68.0,8388.0,542,CAPFE,20.0,2.0,3.0,Bain,Bain_Beachwear,Paris,Centre ville,Succursale,0,0,35
2016-06-22,7000000000195,557,122410,19,1,0,100,753,64574.0,7.0,15110.0,FAVO,VPRIV,13.0,1.0,5.0,,,Paris,Centre ville,Succursale,0,1,0
2016-06-22,3585211805028,557,122410,19,1,39,20,753,63805.0,30.0,14406.0,245,MINET,10.0,1.0,10.0,Homewear,Homewear_Ensemble,Paris,Centre ville,Succursale,0,0,39
2015-09-28,3585211732737,557,122410,9,1,0,100,753,58118.0,310.0,11019.0,270,FAVOR,10.0,1.0,10.0,Homewear,Homewear_Haut,Paris,Centre ville,Succursale,0,0,0
2015-09-28,3585211808449,557,122410,9,1,0,100,753,60838.0,31.0,12664.0,247,LUNDI,21.0,1.0,10.0,Homewear,Homewear_Haut,Paris,Centre ville,Succursale,0,0,0
2015-09-28,3585211842740,557,122410,9,1,0,100,753,60871.0,7.0,11036.0,FAVO,KUSMI,70.0,1.0,5.0,,,Paris,Centre ville,Succursale,0,1,0
2016-06-22,3585211805028,557,122410,17,1,39,20,753,63805.0,30.0,14406.0,245,MINET,10.0,1.0,10.0,Homewear,Homewear_Ensemble,Paris,Centre ville,Succursale,0,0,39
2016-03-17,3585211874574,1396,154,24,1,0,100,786,62275.0,7.0,13741.0,FAVO,TROUS,13.0,1.0,5.0,,,Paris,Centre ville,Succursale,0,1,0
2016-07-02,3585211812620,1396,154,4,1,21,0,786,64190.0,159.0,14791.0,126,PAULE,41.0,3.0,3.0,Corseterie,Short,Paris,Centre ville,Succursale,0,0,21
2016-07-02,3585211785160,1396,154,4,1,25,0,786,62865.0,90.0,11424.0,120,COCOT,61.0,3.0,3.0,Corseterie,Slip,Paris,Centre ville,Succursale,0,0,25
2016-04-12,3585211812569,1396,154,10,1,30,0,770,64184.0,159.0,14785.0,126,PAULE,31.0,3.0,3.0,Corseterie,Short,Paris,Centre Commercial,Succursale,0,0,30
2015-12-04,3585211800399,1396,154,7,1,25,0,781,60612.0,97.0,12510.0,140,BABYD,21.0,1.0,10.0,Corseterie,Corseterie_PP,Paris,Centre Commercial,Succursale,0,0,25
2016-01-05,3585211800184,1396,154,6,1,15,0,781,60591.0,90.0,12489.0,120,BABYD,20.0,1.0,10.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,15
2016-04-12,3585211812859,1396,154,10,1,69,0,770,64228.0,24.0,14829.0,141,PAULE,31.0,1.0,10.0,Corseterie,Corseterie_PP,Paris,Centre Commercial,Succursale,0,0,69
2016-06-20,3585211815300,1396,154,14,1,33,40,781,63375.0,30.0,14034.0,245,IMPAT,70.0,2.0,3.0,Homewear,Homewear_Ensemble,Paris,Centre Commercial,Succursale,0,0,33
2016-01-05,3585211800368,1396,154,6,1,25,0,781,60609.0,97.0,12507.0,140,BABYD,20.0,1.0,10.0,Corseterie,Corseterie_PP,Paris,Centre Commercial,Succursale,0,0,25
2016-06-20,3585211812613,1396,154,14,1,21,30,781,64189.0,159.0,14790.0,126,PAULE,41.0,2.0,3.0,Corseterie,Short,Paris,Centre Commercial,Succursale,0,0,21
2016-06-20,3585211812477,1396,154,14,1,18,30,781,64175.0,19.0,14776.0,122,PAULE,41.0,1.0,10.0,Corseterie,String/Tanga,Paris,Centre Commercial,Succursale,0,0,18
2016-03-29,3585211865893,1396,154,31,1,15,0,757,64424.0,21.0,12489.0,128,BABYD,4149.0,1.0,10.0,Corseterie,String/Tanga,Paris,Centre ville,Succursale,0,0,15
2016-03-29,3585211865985,1396,154,31,1,25,0,757,64433.0,97.0,12489.0,140,BABYD,4149.0,1.0,10.0,Corseterie,Corseterie_PP,Paris,Centre ville,Succursale,0,0,25
2015-12-04,3585211800214,1396,154,7,1,15,0,781,60594.0,90.0,12492.0,120,BABYD,21.0,1.0,10.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,15
2016-01-05,3585211453083,1396,154,6,1,18,0,781,47917.0,157.0,966.0,127,FRIVO,42.0,3.0,3.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,18
2016-06-20,3585211812101,1396,154,14,1,32,30,781,64138.0,178.0,14739.0,102B,PAULE,41.0,4.0,25.0,Corseterie,Corbeille mousse/Bandeau,Paris,Centre Commercial,Succursale,0,0,32
2016-06-20,3585211814679,1396,154,14,1,20,30,781,63345.0,159.0,14004.0,126,IMPAT,70.0,3.0,3.0,Corseterie,Short,Paris,Centre Commercial,Succursale,0,0,20
2016-06-20,3585211814662,1396,154,14,1,20,30,781,63344.0,159.0,14003.0,126,IMPAT,70.0,2.0,3.0,Corseterie,Short,Paris,Centre Commercial,Succursale,0,0,20
2016-06-20,3585211812897,1396,154,14,1,48,30,781,64232.0,24.0,14833.0,141,PAULE,41.0,1.0,10.0,Corseterie,Corseterie_PP,Paris,Centre Commercial,Succursale,0,0,48
2016-03-29,3585211812569,1396,154,31,1,30,0,757,64184.0,159.0,14785.0,126,PAULE,31.0,3.0,3.0,Corseterie,Short,Paris,Centre ville,Succursale,0,0,30
2016-03-29,3585211865800,1396,154,31,1,15,0,757,64415.0,90.0,12489.0,120,BABYD,4149.0,1.0,10.0,Corseterie,Slip,Paris,Centre ville,Succursale,0,0,15
2016-06-20,3585211814310,1396,154,14,1,31,30,781,63312.0,176.0,13971.0,106B,IMPAT,70.0,4.0,25.0,Corseterie,Push-up,Paris,Centre Commercial,Succursale,0,0,31
2015-12-04,3585211800214,1396,154,7,1,15,0,781,60594.0,90.0,12492.0,120,BABYD,21.0,1.0,10.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,15
2016-03-29,3585211812439,1396,154,31,1,27,0,757,64171.0,19.0,14772.0,122,PAULE,31.0,1.0,10.0,Corseterie,String/Tanga,Paris,Centre ville,Succursale,0,0,27
2016-03-29,3585211812071,1396,154,31,1,47,0,757,64135.0,178.0,14736.0,102B,PAULE,31.0,4.0,25.0,Corseterie,Corbeille mousse/Bandeau,Paris,Centre ville,Succursale,0,0,47
2016-06-20,3585211785160,1396,154,14,1,25,0,781,62865.0,90.0,11424.0,120,COCOT,61.0,3.0,3.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,25
2016-06-20,3585211804311,1396,154,14,1,49,0,781,62820.0,176.0,11424.0,106B,COCOT,61.0,4.0,25.0,Corseterie,Push-up,Paris,Centre Commercial,Succursale,0,0,49
2016-02-02,3585211791802,1396,154,8,1,0,100,781,62695.0,90.0,13876.0,120,CHINO,11.0,3.0,3.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,0
2016-02-02,3585211791734,1396,154,8,1,0,100,781,62688.0,200.0,13869.0,107B,CHINO,11.0,4.0,25.0,Corseterie,Triangle/Brassiere,Paris,Centre Commercial,Succursale,0,0,0
2016-06-20,3585211793738,1396,154,14,1,45,30,781,62661.0,87.0,6719.0,277,CARES,6119.0,1.0,10.0,Homewear,Homewear_Ensemble,Paris,Centre Commercial,Succursale,0,0,45
2016-01-05,3585211698538,1396,154,6,1,33,0,781,59465.0,176.0,966.0,106B,FRIVO,67.0,4.0,25.0,Corseterie,Push-up,Paris,Centre Commercial,Succursale,0,0,33
2016-06-20,3585211812989,1396,154,14,1,23,20,781,64202.0,157.0,14803.0,127,PAULE,31.0,3.0,3.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,23
2016-02-02,7000000000102,1396,154,8,1,0,100,781,64567.0,7.0,15103.0,FAVO,CHOIX,13.0,1.0,5.0,,,Paris,Centre Commercial,Succursale,0,1,0
2016-01-05,3585211799709,1396,154,6,1,10,0,781,60576.0,90.0,4889.0,120,FLOWE,61.0,1.0,10.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,10
2016-01-05,7000000000195,1396,154,6,1,0,100,781,64574.0,7.0,15110.0,FAVO,VPRIV,13.0,1.0,5.0,,,Paris,Centre Commercial,Succursale,0,1,0
2016-01-05,3585211699092,1396,154,6,1,18,0,781,59519.0,157.0,966.0,127,FRIVO,67.0,3.0,3.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,18
2016-01-05,3585211800184,1396,154,6,1,15,0,781,60591.0,90.0,12489.0,120,BABYD,20.0,1.0,10.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,15
2016-01-05,3585211710896,1396,154,6,1,18,0,781,59333.0,90.0,11874.0,120,FLANE,67.0,3.0,3.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,18
2016-07-21,3585211874987,1433,191,527,1,0,100,920,62452.0,7.0,13746.0,FAVO,BON20,13.0,1.0,5.0,,,Paris,Centre Commercial,Succursale,0,1,0
2016-05-07,3585211809941,1433,191,529,1,45,0,920,62587.0,200.0,13777.0,107B,BALLE,31.0,5.0,25.0,Corseterie,Triangle/Brassiere,Paris,Centre Commercial,Succursale,0,0,45
2016-07-21,3585211859892,1433,191,527,1,49,0,920,66168.0,227.0,15880.0,101B,TUTU,6119.0,5.0,25.0,Corseterie,Corbeille,Paris,Centre Commercial,Succursale,0,0,49
2016-07-21,3585211788895,1433,191,527,1,33,0,920,63402.0,227.0,14061.0,101B,IRONI,11.0,5.0,25.0,Corseterie,Corbeille,Paris,Centre Commercial,Succursale,0,0,33
2016-07-21,7000000000089,1433,191,527,1,0,100,920,64575.0,7.0,15111.0,FAVO,2NDBA,13.0,1.0,5.0,,,Paris,Centre Commercial,Succursale,0,1,0
2016-07-21,3585211789823,1433,191,527,1,23,0,920,63495.0,90.0,14154.0,120,IRONI,11.0,3.0,3.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,23
2016-07-21,3585211789823,1433,191,527,1,0,100,920,63495.0,90.0,14154.0,120,IRONI,11.0,3.0,3.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,0
2016-05-12,3585211810404,1433,191,17,1,35,0,920,62615.0,155.0,13805.0,119,BALLE,31.0,4.0,3.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,35
2016-05-12,3585211851353,1433,191,17,1,0,100,920,62494.0,123.0,13764.0,253,FAV06,6101.0,1.0,10.0,Homewear,Homewear_Haut,Paris,Centre Commercial,Succursale,0,0,0
2016-01-20,3585211719523,1433,191,535,1,19,0,920,60443.0,21.0,6272.0,128,VANIT,21.0,1.0,10.0,Corseterie,String/Tanga,Paris,Centre Commercial,Succursale,0,0,19
2016-01-20,3585211719332,1433,191,535,1,29,0,920,60420.0,200.0,6272.0,107B,VANIT,21.0,5.0,25.0,Corseterie,Triangle/Brassiere,Paris,Centre Commercial,Succursale,0,0,29
2016-05-07,3585211909450,1433,191,529,1,0,100,920,64564.0,7.0,15101.0,FAVO,TASB7,13.0,1.0,5.0,,,Paris,Centre Commercial,Succursale,0,1,0
2016-05-07,3585211810404,1433,191,529,1,35,0,920,62615.0,155.0,13805.0,119,BALLE,31.0,4.0,3.0,Corseterie,Slip,Paris,Centre Commercial,Succursale,0,0,35
2016-07-21,3585211859700,1433,191,527,1,35,0,920,66239.0,21.0,15951.0,128,TUTU,6119.0,2.0,10.0,Corseterie,String/Tanga,Paris,Centre Commercial,Succursale,0,0,35
2016-01-20,3585211719530,1433,191,535,1,19,0,920,60444.0,21.0,6272.0,128,VANIT,21.0,2.0,10.0,Corseterie,String/Tanga,Paris,Centre Commercial,Succursale,0,0,19
2016-07-21,3585211851322,1433,191,527,1,0,100,920,62491.0,31.0,13761.0,247,BIR06,1001.0,1.0,10.0,Homewear,Homewear_Haut,Paris,Centre Commercial,Succursale,0,0,0
2016-03-12,3585211542732,1534,290,5,1,42,0,943,50583.0,272.0,6101.0,112B,EPURE,42.0,5.0,25.0,Corseterie,Corbeille mousse/Bandeau,Paris,Centre ville,Succursale,0,0,42
2015-12-19,3585211733055,1534,290,7,1,75,0,7512,59179.0,278.0,11720.0,208,EXTRA,7005.0,3.0,3.0,Homewear,Homewear_Haut,Paris,Centre ville,Succursale,0,0,75
